date	close
2015-05-28	66.2
2015-05-27	66.47
2015-05-26	65.73
2015-05-22	66.47
2015-05-21	66.65
2015-05-20	66.48
2015-05-19	67.01
2015-05-18	66.42
2015-05-15	65.88
2015-05-14	66.05
2015-05-13	65.52
2015-05-12	65.36
2015-05-11	65.45
2015-05-08	65.49
2015-05-07	64.5
2015-05-06	63.92
2015-05-05	64.4
2015-05-04	64.72
2015-05-01	63.61
2015-04-30	63.26
2015-04-29	63.6
2015-04-28	62.76
2015-04-27	62.34
2015-04-24	62.6
2015-04-23	62.8
2015-04-22	62.94
2015-04-21	62.31
2015-04-20	63.24
2015-04-17	62.84
2015-04-16	63.81
2015-04-15	64.21
2015-04-14	63.04
2015-04-13	62.07
2015-04-10	61.7
2015-04-09	61.47
2015-04-08	61.05
2015-04-07	60.85
2015-04-06	60.47
2015-04-02	60.52
2015-04-01	59.95
2015-03-31	60.18
2015-03-30	60.55749
2015-03-27	59.1568
2015-03-26	59.14687
2015-03-25	59.21641
2015-03-24	60.06079
2015-03-23	60.7363
2015-03-20	61.34228
2015-03-19	60.79591
2015-03-18	61.34228
2015-03-17	61.2032
2015-03-16	61.44161
2015-03-13	60.59723
2015-03-12	60.96478
2015-03-11	59.84225
2015-03-10	59.56409
2015-03-09	61.09393
2015-03-06	60.48795
2015-03-05	61.59063
2015-03-04	61.71977
2015-03-03	61.56083
2015-03-02	61.36214
2015-02-27	60.87538
2015-02-26	61.1734
2015-02-25	60.7363
2015-02-24	60.41842
2015-02-23	58.95812
2015-02-20	59.40515
2015-02-19	58.83891
2015-02-18	58.97799
2015-02-17	59.70317
2015-02-13	59.27601
2015-02-12	59.17667
2015-02-11	57.98459
2015-02-10	58.074
2015-02-09	57.43822
2015-02-06	57.50776
2015-02-05	56.39516
2015-02-04	56.00773
2015-02-03	56.34549
2015-02-02	55.10374
