date	close
2015-05-28	41.14
2015-05-27	41.12
2015-05-26	40.99
2015-05-22	41.21
2015-05-21	41.23
2015-05-20	41.35
2015-05-19	41.31
2015-05-18	41.32
2015-05-15	41.52
2015-05-14	41.5
2015-05-13	41.05
2015-05-12	40.69
2015-05-11	40.94
2015-05-08	40.98
2015-05-07	40.7
2015-05-06	40.66
2015-05-05	40.75
2015-05-04	40.96
2015-05-01	40.91
2015-04-30	40.56
2015-04-29	40.49
2015-04-28	40.77
2015-04-27	40.83
2015-04-24	40.89
2015-04-23	40.95
2015-04-22	41.31
2015-04-21	40.78
2015-04-20	40.66
2015-04-17	40.3
2015-04-16	40.6
2015-04-15	40.4
2015-04-14	40.51
2015-04-13	40.7
2015-04-10	40.88
2015-04-09	41.05
2015-04-08	40.89
2015-04-07	41.01
2015-04-06	41.17
2015-04-02	40.68
2015-04-01	40.68
2015-03-31	40.55
2015-03-30	40.51
2015-03-27	40.08
2015-03-26	40.35
2015-03-25	40.45
2015-03-24	40.47
2015-03-23	40.62
2015-03-20	40.65
2015-03-19	40.02
2015-03-18	40.6
2015-03-17	40.51
2015-03-16	40.29
2015-03-13	39.91
2015-03-12	40.57
2015-03-11	39.77
2015-03-10	40.35514
2015-03-09	41.04938
2015-03-06	41.17831
2015-03-05	42.05107
2015-03-04	42.15025
2015-03-03	42.59655
2015-03-02	42.84449
2015-02-27	42.94366
2015-02-26	42.11058
2015-02-25	41.70395
2015-02-24	41.78329
2015-02-23	41.5056
2015-02-20	41.62461
2015-02-19	41.76346
2015-02-18	41.38659
2015-02-17	41.46593
2015-02-13	41.64445
2015-02-12	41.82296
2015-02-11	42.02132
2015-02-10	42.05107
2015-02-09	40.8907
2015-02-06	41.10889
2015-02-05	41.44609
2015-02-04	41.337
2015-02-03	41.28741
2015-02-02	41.24774
